metric,exp0_local,exp1_sft,exp2_fl,exp3_fl_bc,exp4_fedchain
validation_loss,2.077982,2.049169,2.068583,2.068583,2.068583
perplexity,7.988348,7.761445,7.913604,7.913604,7.913604
rouge_l,0.248353,0.248147,0.245724,0.245724,0.245724
bleu,0.040214,0.046836,0.043028,0.043028,0.043028
training_time_sec,6188.2902,4052.4779,10581.8603,10494.1637,11019.6393
communication_volume_mb,0.0,0.0,302.8644,302.8644,399.3246
adapter_size_mb,16.827,16.827,16.8247,16.8247,16.8247
blockchain_tx_latency_sec,0.0,0.0,0.0,0.263766,0.233325
blockchain_gas_used,0,0,0,2997464,3785372
ipfs_upload_latency_sec,0.0,0.0,0.0,0.0,19.100442
ipfs_download_latency_sec,0.0,0.0,0.0,0.0,2.864396
aggregation_time_sec,0.0,0.0,0.1995,0.1786,0.1861
end_to_end_round_duration_sec,2067.5009,4053.6013,3827.5563,3790.0638,3988.5337
total_round_time_sec,6202.5,4053.6,11482.67,11370.19,11965.6
