metric,exp0_local,exp1_sft,exp2_fl,exp3_fl_bc,exp4_fedchain,exp5_noniid
validation_loss,2.077982,2.049169,2.068583,2.068583,2.068583,2.073369
perplexity,7.988348,7.761445,7.913604,7.913604,7.913604,7.951567
rouge_l,0.248353,0.248147,0.245724,0.245724,0.245724,0.227579
bleu,0.040214,0.046836,0.043028,0.043028,0.043028,0.042707
training_time_sec,4060.6433,3999.1109,4051.5112,4033.0704,4038.2113,3931.255
communication_volume_mb,0.0,0.0,302.8644,302.8644,399.3246,399.3138
adapter_size_mb,16.827,16.827,16.8247,16.8247,16.8247,16.8247
blockchain_tx_latency_sec,0.0,0.0,0.0,0.226205,0.214261,0.218337
blockchain_gas_used,0,0,0,2997464,3785372,3785372
ipfs_upload_latency_sec,0.0,0.0,0.0,0.0,18.037092,18.126255
ipfs_download_latency_sec,0.0,0.0,0.0,0.0,2.851839,2.78521
aggregation_time_sec,0.0,0.0,0.3108,0.2863,0.3414,0.1975
end_to_end_round_duration_sec,1359.1844,4000.4453,1590.3614,1585.0961,1592.5294,1553.8542
total_round_time_sec,4077.55,4000.45,4771.08,4755.29,4777.59,4661.56
