metric,exp0_local,exp1_sft,exp2_fl,exp3_fl_bc,exp4_fedchain,exp5_noniid
validation_loss,2.024113,1.988528,2.023361,2.023361,2.023361,2.025167
perplexity,7.569403,7.304776,7.563703,7.563703,7.563703,7.577379
rouge_l,0.244648,0.228229,0.246962,0.246962,0.246962,0.226855
bleu,0.040355,0.04169,0.042478,0.042478,0.042478,0.032912
training_time_sec,3805.7068,3881.2199,3881.7154,3938.4547,3931.2732,3970.7374
communication_volume_mb,299.202,0.0,299.1817,299.1817,393.5165,393.4995
adapter_size_mb,16.6224,16.6225,16.6201,16.6201,16.6201,16.6201
blockchain_tx_latency_sec,0.0,0.0,0.0,1.505644,1.490304,1.484303
blockchain_gas_used,0,0,0,2997464,3785372,3785372
ipfs_upload_latency_sec,0.0,0.0,0.0,0.0,17.800692,17.642673
ipfs_download_latency_sec,0.0,0.0,0.0,0.0,2.746584,2.93603
aggregation_time_sec,0.0,0.0,0.2505,0.2518,0.2018,0.3016
end_to_end_round_duration_sec,1272.9805,3882.2749,1553.9066,1572.8908,1578.4073,1597.3518
total_round_time_sec,3818.94,3882.27,4661.72,4718.67,4735.22,4792.06
